id,created_at,text
861193966011662336,2017-05-07 12:20:16,b'RT @ashokgehlot51: I congratulate Avinash Pandey ji for becoming General Secretary incharge\xe2\x80\x8b of #Rajasthan Cong.Wish him all success in thi\xe2\x80\xa6'
861193841327525888,2017-05-07 12:19:46,b'@VasudevDevnani More than 40% posts of lecturers are vacant in #Rajasthan\rHow can you think of increasing enrolment? https://t.co/0dIeGk2oWq'
861193533830553600,2017-05-07 12:18:33,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861193195962683392,2017-05-07 12:17:12,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861193061807685634,2017-05-07 12:16:40,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861193007273451520,2017-05-07 12:16:27,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861192832840646657,2017-05-07 12:15:46,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861192287996477440,2017-05-07 12:13:36,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861192065773973504,2017-05-07 12:12:43,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861191601695072256,2017-05-07 12:10:52,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861191562516148224,2017-05-07 12:10:43,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861191478013546496,2017-05-07 12:10:23,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861191416457965569,2017-05-07 12:10:08,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861191414989934592,2017-05-07 12:10:08,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861191406127370240,2017-05-07 12:10:06,"b'RT @ashokgehlot51: It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting proper p\xe2\x80\xa6'"
861191351743926273,2017-05-07 12:09:53,"b'It is distressing that the farmers, who produced onion in #Rajasthan r facing difficulties.They are not getting pro\xe2\x80\xa6 https://t.co/4eaunIyvxr'"
861191145094868992,2017-05-07 12:09:03,b'6 children killed as tractor trolley overturns in #SawaiMadhopur #Rajasthan'
861189961122492417,2017-05-07 12:04:21,b'RT @DIPRRajasthan: Preparations For #Kota GRAM In Full Swing\n#GRAMKota #ChaloKota #GRAM2017  #Rajasthan \n@GramRajasthan\nhttps://t.co/ydGVV1\xe2\x80\xa6'
861188782695043073,2017-05-07 11:59:40,b'Latest radar image showing 13.07% cloud build up over #Jaipur city. #Rajasthan #Weather #weatheralert https://t.co/X1x50RWArM'
861187964851900417,2017-05-07 11:56:25,b'Village Life \n#rajasthan #rajasthandairies #rajasthantourism #khuri #khuridesert #colours #coloursofindia #ig_indi\xe2\x80\xa6\xe2\x80\xa6 https://t.co/H1898JzBTB'
